index,name,isin,url,keyword,sheet
8,7IM AAP Moderately Adventurous Fund C Acc,GB00B2PB2M73,https://www.fidelity.co.uk/factsheets?id=F000001F02&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
13,7IM Adventurous Fund C Inc,GB0033957704,https://www.fidelity.co.uk/factsheets?id=F0GBR05VCQ&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
18,7IM Moderately Cautious Fund C Acc,GB0033953497,https://www.fidelity.co.uk/factsheets?id=F0GBR05WOQ&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
23,AB - American Growth Portfolio I GBP Acc,LU1877329133,https://www.fidelity.co.uk/factsheets?id=F0000146V3&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
28,abrdn Asia Pacific Equity Enhanced Index Fund B Acc,GB00BRJL7V21,https://www.fidelity.co.uk/factsheets?id=F00000X3SD&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
33,abrdn Dynamic Distribution Fund Institutional Accumulation,GB00B0WS7N30,https://www.fidelity.co.uk/factsheets?id=F0GBR06DZQ&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
38,abrdn Emerging Markets Income Equity Fund Institutional Income,GB00B7VX3J60,https://www.fidelity.co.uk/factsheets?id=F00000P989&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
43,abrdn Europe ex UK Ethical Equity Fund Institutional Accumulation,GB00B1ZB0P99,https://www.fidelity.co.uk/factsheets?id=F000000NTM&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
48,abrdn European Real Estate Share Fund I Inc,GB00BWK26899,https://www.fidelity.co.uk/factsheets?id=F00000W9RO&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
53,abrdn Global Equity Fund I Acc,GB0031682734,https://www.fidelity.co.uk/factsheets?id=F0GBR065B9&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
58,abrdn Global Inflation-Linked Bond Tracker Fund B Acc,GB00BG08N175,https://www.fidelity.co.uk/factsheets?id=F0000125OL&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
63,abrdn Global Smaller Companies Fund Institutional Accumulation,GB00B777SP34,https://www.fidelity.co.uk/factsheets?id=F00000NMQ9&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
68,abrdn Japan Equity Enhanced Index Fund B Acc,GB00BRJL8317,https://www.fidelity.co.uk/factsheets?id=F00000VF57&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
73,abrdn MyFolio Core II Fund Institutional Accumulation,GB00B519BS58,https://www.fidelity.co.uk/factsheets?id=F00000JYZK&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
78,abrdn MyFolio Core IV Fund Institutional Income,GB00BHZCRM05,https://www.fidelity.co.uk/factsheets?id=F000013HD5&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
83,abrdn MyFolio Index I Fund Institutional B Fixed Accumulation,GB00BHZCQK16,https://www.fidelity.co.uk/factsheets?id=F000013EAA&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
88,abrdn MyFolio Multi-Manager I Fund Institutional Accumulation,GB00B5401V86,https://www.fidelity.co.uk/factsheets?id=F00000JYZ8&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
93,abrdn MyFolio Multi-Manager IV Fund Institutional Accumulation,GB00B4WCRZ51,https://www.fidelity.co.uk/factsheets?id=F00000JYZE&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
98,abrdn Real Estate Feeder Fund Class Institutional Accumulation,GB00BYPHPB97,https://www.fidelity.co.uk/factsheets?id=F00000WX78&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
103,abrdn Short Dated Corporate Bond Fund Institutional Income,GB00BZCGBR41,https://www.fidelity.co.uk/factsheets?id=F00000XYL1&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
108,abrdn SICAV I - Asian Smaller Companies Fund X Acc GBP,LU0837967669,https://www.fidelity.co.uk/factsheets?id=F00000PALG&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This fund can be held in an Investment ISA, SIPP and Investment Account",MF
