index,name,isin,url,keyword,sheet
15,Amundi Index Solutions - Amundi Prime Euro Government Bond UCITS ETF Dist GBP,LU1931975152,https://www.fidelity.co.uk/factsheets?id=0P0001HNU3&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
20,Amundi MSCI Emerging Markets SRI Climate Paris Aligned - UCITS ETF DR (C) GBP,LU1861138961,https://www.fidelity.co.uk/factsheets?id=0P0001IINP&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
25,Amundi Prime All Country World UCITS ETF Inc GBP,IE0009HF1MK9,https://www.fidelity.co.uk/factsheets?id=0P0001UQKL&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
30,ARK Artificial Intelligence & Robotics UCITS ETF Class A USD Accumulation GBP,IE0003A512E4,https://www.fidelity.co.uk/factsheets?id=0P0001SSV2&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
35,Fidelity Emerging Markets Equity Research Enhanced UCITS ETF USD Acc GBP,IE00BLRPN388,https://www.fidelity.co.uk/factsheets?id=0P0001KERG&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
40,Fidelity EUR Corp Bond Research Enhanced PAB UCITS ETF GBP Hedged Acc,IE00048UULY2,https://www.fidelity.co.uk/factsheets?id=0P0001RDG2&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
45,Fidelity Europe Quality Income UCITS ETF EUR Acc GBP,IE00BYSX4283,https://www.fidelity.co.uk/factsheets?id=0P0001BXX8&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
50,Fidelity Global Equity Research Enhanced PAB UCITS ETF USD Acc GBP,IE000TYGG0N6,https://www.fidelity.co.uk/factsheets?id=0P0001Y09X&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
55,Fidelity Global HY Corp Bond Research Enhanced PAB UCITS ETF Inc GBP,IE0006OIQXE9,https://www.fidelity.co.uk/factsheets?id=0P0001Q1JS&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
60,Fidelity Pacific ex-Japan Equity Research Enhanced UCITS ETF USD Acc GBP,IE00BNGFMY78,https://www.fidelity.co.uk/factsheets?id=0P0001KVTD&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
65,Fidelity US Quality Income UCITS ETF GBP Hedged Acc,IE00BYV03C98,https://www.fidelity.co.uk/factsheets?id=0P0001AMSM&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
70,Fidelity USD Corp Bond Research Enhanced UCITS ETF Acc GBP,IE000W24OG76,https://www.fidelity.co.uk/factsheets?id=0P00020A50&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
75,First Trust Emerging Markets AlphaDEX® UCITS ETF Class A Accumulation GBP,IE00B8X9NX34,https://www.fidelity.co.uk/factsheets?id=0P0000YJKE&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
80,FIRST TRUST GLOBAL FUNDS PLC - First Trust Global Capital Strength ESG Leaders UCITS ETF Class A USD GBP,IE00BKPSPT20,https://www.fidelity.co.uk/factsheets?id=0P0001LWOJ&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
85,First Trust United Kingdom AlphaDEX® UCITS ETF Class A GBP,IE00B8X9NZ57,https://www.fidelity.co.uk/factsheets?id=0P0000YJX1&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
90,First Trust US Large Cap Core AlphaDEX® UCITS ETF Class B USD GBP,IE00BWTNMB87,https://www.fidelity.co.uk/factsheets?id=0P000165VD&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
95,Gold Miners Screened UCITS ETF GBP,IE00BNTVVR89,https://www.fidelity.co.uk/factsheets?id=0P0001MRVU&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
100,HSBC FTSE 100 UCITS ETF,IE00B42TW061,https://www.fidelity.co.uk/factsheets?id=0P0000KX1H&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
105,HSBC MSCI AC FAR EAST ex JAPAN UCITS ETF GBP,IE00BBQ2W338,https://www.fidelity.co.uk/factsheets?id=0P0000ZP0F&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This ETF can be held in an Investment ISA, SIPP and Investment Account",ETF
