index,name,isin,url,keyword,sheet
10,abrdn Property Income Trust Limited,GB0033875286,https://www.fidelity.co.uk/factsheets?id=F0000002LU&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
15,AVI Global Trust PLC,GB00BLH3CY60,https://www.fidelity.co.uk/factsheets?id=E0GBR00R16&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
20,Baillie Gifford Shin Nippon,GB00BFXYH242,https://www.fidelity.co.uk/factsheets?id=E0GBR003A8&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
25,BlackRock American Income Trust plc,GB00B7W0XJ61,https://www.fidelity.co.uk/factsheets?id=F00000OUTA&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
30,BlackRock Smaller Companies Trust,GB0006436108,https://www.fidelity.co.uk/factsheets?id=E0GBR01ORG&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
35,Capital Gearing Trust Plc,GB0001738615,https://www.fidelity.co.uk/factsheets?id=E0GBR004CX&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
40,CQS New City High Yield Fund Ltd,JE00B1LZS514,https://www.fidelity.co.uk/factsheets?id=F000000EOU&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
45,CVC Income & Growth Limited GBP,JE00B9MRHZ51,https://www.fidelity.co.uk/factsheets?id=F00000Q2Q8&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
50,Edinburgh Worldwide Investment Trust Plc,GB00BHSRZC82,https://www.fidelity.co.uk/factsheets?id=E0GBR01OFW&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
55,Fidelity Emerging Markets Ltd,GG00B4L0PD47,https://www.fidelity.co.uk/factsheets?id=F000005MI9&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
60,Foresight Solar Fund Limited,JE00BD3QJR55,https://www.fidelity.co.uk/factsheets?id=F00000QLX4&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
65,Gresham House Energy Storage Fund PLC,GB00BFX3K770,https://www.fidelity.co.uk/factsheets?id=F000011FTC&idCurrencyId=&idType=msid&marketCode=&intref=pi_tool_investment-finder,"This investment trust can be held in an Investment ISA, SIPP and Investment Account",Investment
